time,temp,hum,tvoc
00:00:05,28.74,46.12,282.00
00:00:24,28.73,46.08,283.00
00:00:44,28.75,46.07,282.00
00:01:04,28.75,46.05,284.00
00:01:24,28.74,46.08,280.00
00:01:44,28.74,46.07,281.00
00:02:04,28.72,46.05,279.00
00:02:24,28.76,46.08,281.00
00:02:44,28.74,46.12,282.00
00:03:05,28.73,46.13,281.00
00:03:25,28.72,46.15,279.00
00:03:45,28.71,46.16,281.00
00:04:05,28.72,46.14,280.00
00:04:25,28.73,46.15,279.00
00:04:45,28.71,46.14,283.00
00:05:05,28.71,46.15,282.00
00:05:25,28.71,46.14,281.00
00:05:45,28.72,46.17,283.00
00:06:05,28.76,46.18,281.00
00:06:25,28.73,46.15,281.00
00:06:45,28.71,46.11,283.00
00:07:05,28.74,46.14,283.00
00:07:25,28.71,46.11,280.00
00:07:46,28.73,46.09,283.00
00:08:06,28.73,46.09,282.00
00:08:26,28.74,46.07,284.00
00:08:46,28.75,46.04,281.00
00:09:06,28.76,46.02,282.00
00:09:26,28.76,46.00,283.00
00:09:46,28.76,45.97,283.00
00:10:06,28.78,46.01,283.00
00:10:26,28.78,46.04,283.00
00:10:46,28.76,46.05,283.00
00:11:06,28.74,46.03,281.00
00:11:26,28.76,46.06,284.00
00:11:46,28.76,46.03,284.00
00:12:06,28.77,46.02,282.00
00:12:26,28.76,46.01,280.00
00:12:47,28.75,46.04,281.00
00:13:07,28.76,46.04,283.00
00:13:27,28.74,46.08,284.00
00:13:47,28.77,46.07,282.00
00:14:07,28.73,46.03,284.00
00:14:27,28.74,46.06,281.00
00:14:47,28.74,46.04,281.00
00:15:07,28.76,46.09,283.00
00:15:27,28.72,46.07,284.00
00:15:47,28.73,46.09,284.00
00:16:07,28.72,46.06,281.00
00:16:27,28.73,46.07,281.00
00:16:47,28.75,46.08,284.00
00:17:07,28.73,46.09,284.00
00:17:28,28.72,46.10,281.00
00:17:48,28.73,46.10,284.00
00:18:08,28.73,46.15,283.00
00:18:28,28.71,46.09,281.00
00:18:48,28.72,46.09,284.00
00:19:08,28.68,46.09,283.00
00:19:28,28.74,46.09,282.00
00:19:48,28.74,46.06,284.00
00:20:08,28.75,46.11,283.00
00:20:28,28.72,46.10,282.00
00:20:48,28.71,46.11,283.00
00:21:08,28.72,46.11,287.00
00:21:28,28.75,46.11,285.00
00:21:48,28.71,46.08,283.00
00:22:08,28.73,46.10,285.00
00:22:29,28.69,46.11,283.00
00:22:49,28.70,46.12,284.00
00:23:09,28.68,46.08,283.00
00:23:29,28.72,46.13,282.00
00:23:49,28.74,46.12,284.00
00:24:09,28.72,46.12,284.00
00:24:29,28.72,46.08,284.00
00:24:49,28.74,46.05,284.00
00:25:09,28.73,46.10,284.00
00:25:29,28.73,46.10,284.00
00:25:49,28.69,46.09,281.00
00:26:09,28.74,46.09,285.00
00:26:29,28.72,46.08,284.00
00:26:49,28.73,46.08,284.00
00:27:10,28.73,46.10,285.00
00:27:30,28.71,46.09,285.00
00:27:50,28.70,46.11,285.00
00:28:10,28.70,46.15,284.00
00:28:30,28.70,46.01,284.00
00:28:50,28.71,45.96,283.00
00:29:10,28.71,45.91,282.00
00:29:30,28.72,45.98,281.00
00:29:50,28.72,45.90,281.00
00:30:10,28.71,45.97,283.00
00:30:30,28.68,46.07,282.00
00:30:50,28.70,46.11,280.00
00:31:10,28.67,46.08,283.00
00:31:30,28.68,46.08,284.00
00:31:50,28.70,46.09,281.00
00:32:11,28.74,46.10,283.00
00:32:31,28.71,46.12,283.00
00:32:51,28.71,46.12,282.00
00:33:11,28.74,46.15,282.00
00:33:31,28.72,46.17,282.00
00:33:51,28.71,46.18,284.00
00:34:11,28.67,46.17,282.00
00:34:31,28.71,46.19,284.00
00:34:51,28.68,46.20,282.00
00:35:11,28.67,46.20,286.00
00:35:31,28.67,46.14,286.00
00:35:51,28.73,46.11,284.00
00:36:11,28.70,46.12,287.00
00:36:31,28.72,46.12,286.00
00:36:52,28.70,46.14,286.00
00:37:12,28.69,46.18,283.00
00:37:32,28.71,46.11,286.00
00:37:52,28.72,46.12,284.00
00:38:12,28.72,46.10,285.00
00:38:32,28.73,46.09,286.00
00:38:52,28.72,46.09,284.00
00:39:12,28.70,46.14,285.00
00:39:32,28.67,46.13,283.00
00:39:52,28.70,46.17,287.00
00:40:12,28.69,46.16,287.00
00:40:32,28.68,46.19,284.00
00:40:52,28.70,46.15,287.00
00:41:12,28.72,46.13,285.00
00:41:33,28.72,46.10,287.00
00:41:53,28.69,46.12,286.00
00:42:13,28.71,46.11,284.00
00:42:33,28.74,46.07,284.00
00:42:53,28.73,46.09,286.00
00:43:13,28.71,46.11,284.00
00:43:33,28.71,46.14,287.00
00:43:53,28.69,46.13,288.00
00:44:13,28.73,46.15,285.00
00:44:33,28.67,46.12,283.00
00:44:53,28.68,46.10,283.00
00:45:13,28.73,46.06,287.00
00:45:33,28.75,46.07,287.00
00:45:53,28.71,46.05,283.00
00:46:13,28.72,46.06,284.00
00:46:34,28.71,46.11,286.00
00:46:54,28.71,46.18,286.00
00:47:14,28.68,46.18,284.00
00:47:34,28.71,46.18,288.00
00:47:54,28.70,46.15,286.00
00:48:14,28.71,46.17,286.00
00:48:34,28.69,46.22,288.00
00:48:54,28.68,46.20,287.00
00:49:14,28.67,46.18,286.00
00:49:34,28.66,46.16,288.00
00:49:54,28.72,46.13,286.00
00:50:14,28.68,46.11,289.00
00:50:34,28.69,46.11,286.00
00:50:54,28.71,46.17,289.00
00:51:15,28.69,46.20,288.00
00:51:35,28.71,46.18,289.00
00:51:55,28.66,46.21,286.00
00:52:15,28.64,46.21,286.00
00:52:35,28.71,46.22,288.00
00:52:55,28.67,46.22,287.00
00:53:15,28.68,46.21,287.00
00:53:35,28.66,46.20,288.00
00:53:55,28.71,46.19,287.00
00:54:15,28.71,46.17,285.00
00:54:35,28.66,46.18,289.00
00:54:55,28.67,46.18,287.00
00:55:15,28.69,46.20,288.00
00:55:35,28.67,46.20,286.00
00:55:55,28.68,46.20,287.00
00:56:16,28.71,46.21,286.00
00:56:36,28.72,46.18,285.00
00:56:56,28.67,46.16,286.00
00:57:16,28.71,46.16,286.00
00:57:36,28.67,46.19,287.00
00:57:56,28.66,46.19,285.00
00:58:16,28.65,46.21,287.00
00:58:36,28.64,46.20,289.00
00:58:56,28.69,46.21,286.00
00:59:16,28.67,46.19,288.00
00:59:36,28.65,46.18,286.00
00:59:56,28.67,46.19,286.00
01:00:16,28.67,46.16,289.00
01:00:36,28.70,46.17,288.00
01:00:57,28.69,46.20,287.00
01:01:17,28.70,46.21,286.00
01:01:37,28.69,46.23,288.00
01:01:57,28.67,46.21,284.00
01:02:17,28.67,46.23,289.00
01:02:37,28.66,46.25,286.00
01:02:57,28.69,46.24,288.00
01:03:17,28.66,46.25,286.00
01:03:37,28.67,46.19,287.00
01:03:57,28.67,46.15,287.00
01:04:17,28.66,46.20,289.00
01:04:37,28.67,46.19,289.00
01:04:57,28.69,46.16,287.00
01:05:17,28.69,46.17,286.00
01:05:37,28.70,46.18,290.00
01:05:58,28.68,46.19,288.00
01:06:18,28.67,46.22,289.00
01:06:38,28.62,46.24,288.00
01:06:58,28.68,46.19,287.00
01:07:18,28.63,46.18,289.00
01:07:38,28.66,46.21,287.00
01:07:58,28.69,46.23,286.00
01:08:18,28.67,46.21,289.00
01:08:38,28.68,46.18,289.00
01:08:58,28.66,46.15,286.00
01:09:18,28.68,46.18,289.00
01:09:38,28.68,46.14,290.00
01:09:58,28.70,46.18,289.00
01:10:18,28.66,46.21,290.00
01:10:39,28.68,46.25,289.00
01:10:59,28.69,46.20,290.00
01:11:19,28.68,46.16,290.00
01:11:39,28.68,46.16,289.00
01:11:59,28.70,46.17,290.00
01:12:19,28.68,46.17,291.00
01:12:39,28.66,46.21,289.00
01:12:59,28.70,46.23,291.00
01:13:19,28.64,46.28,287.00
01:13:39,28.64,46.26,288.00
01:13:59,28.63,46.27,287.00
01:14:19,28.62,46.23,292.00
01:14:39,28.64,46.19,289.00
01:14:59,28.62,46.23,289.00
01:15:19,28.64,46.27,290.00
01:15:40,28.63,46.23,289.00
01:16:00,28.64,46.25,291.00
01:16:20,28.63,46.26,290.00
01:16:40,28.64,46.24,291.00
01:17:00,28.68,46.22,291.00
01:17:20,28.65,46.23,286.00
01:17:40,28.66,46.24,290.00
01:18:00,28.67,46.23,287.00
01:18:20,28.66,46.22,289.00
01:18:40,28.64,46.20,291.00
01:19:00,28.67,46.21,289.00
01:19:20,28.63,46.12,289.00
01:19:40,28.65,46.14,288.00
01:20:00,28.67,46.23,290.00
01:20:21,28.64,46.26,288.00
01:20:41,28.61,46.28,289.00
01:21:01,28.60,46.32,292.00
01:21:21,28.62,46.30,287.00
01:21:41,28.63,46.31,289.00
01:22:01,28.62,46.32,289.00
01:22:21,28.61,46.28,289.00
